         494973 function calls (486978 primitive calls) in 1.116 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.006    0.000    0.035    0.001 __init__.py:911(_rc_params_in_file)
        4    0.000    0.000    0.000    0.000 __init__.py:913(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:914(<dictcomp>)
       27    0.000    0.000    0.045    0.002 __init__.py:973(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:994(<listcomp>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6668(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6669(type_aliases_gen)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6710(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
      122    0.000    0.000    0.001    0.000 _asarray.py:88(asanyarray)
        2    0.000    0.000    0.142    0.071 _axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _axes.py:15(Axes)
        1    0.001    0.001    0.029    0.029 _axes.py:97(Axes)
        1    0.000    0.000    0.019    0.019 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:130(FigureCanvasTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:476(FigureManagerTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:578(NavigationToolbar2Tk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:721(ToolTip)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:771(RubberbandTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:787(SetCursorTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:793(ToolbarTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:86(TimerTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:871(StatusbarTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:888(SaveFigureTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:894(ConfigureSubplotsTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:923(HelpTk)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:939(_BackendTk)
        1    0.000    0.000    0.019    0.019 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:118(_process_plot_var_args)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:410(_AxesBase)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
        1    0.000    0.000    0.000    0.000 _base.py:48(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:52(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:555(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:56(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:60(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:648(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:75(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:97(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
       29    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    1.045    1.045 _cleanfigure.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:160(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:66(cubehelix)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       35    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       31    0.001    0.000    0.017    0.001 _collections_abc.py:824(update)
        1    0.000    0.000    0.007    0.007 _color.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _color_data.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _color_data.py:30(<genexpr>)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _common.py:128(_validate_fromutc_inputs)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        1    0.000    0.000    0.000    0.000 _common.py:145(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:263(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
       14    0.000    0.000    0.000    0.000 _common.py:9(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
